Corn_Yields,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Avg.
Bremer,196.5,133.3,175.1,159.0,203.1,210.6,212.7,212.4,212.5,188.7,190.4
Buchanan,187.0,140.4,168.8,169.3,191.6,205.6,221.3,207.1,218.9,189.3,189.9
Chickasaw,188.8,125.8,171.8,157.6,202.8,206.6,194.4,192.9,212.1,186.8,184.0
Clayton,186.8,152.9,181.2,176.7,193.2,210.3,213.6,201.5,197.5,192.1,190.6
Delaware,186.5,129.8,184.7,174.9,195.8,202.3,218.0,224.8,204.6,191.5,191.3
Dubuque,185.1,149.4,196.0,184.9,197.0,211.5,215.1,211.8,216.4,198.3,196.6
Fayette,186.6,151.0,181.2,170.9,191.8,202.5,207.6,200.1,200.5,181.1,187.3
Howard,185.8,137.8,159.1,164.4,202.1,202.2,201.7,185.5,194.2,189.7,182.3
Winneshiek,186.2,140.6,181.8,174.0,185.6,210.7,199.7,198.1,200.4,179.2,185.6
Audubon,176.6,114.8,157.1,185.5,189.8,206.1,211.2,180.0,216.0,171.7,180.9
Calhoun,181.9,134.8,132.6,189.6,194.7,207.3,195.1,193.3,198.8,160.5,178.9
Carroll,180.2,105.3,136.5,188.6,195.4,203.1,211.3,208.4,219.7,151.4,180.0
Crawford,181.8,131.3,157.8,183.0,199.1,213.5,221.9,214.0,234.7,182.3,191.9
Greene,183.4,124.6,137.9,181.2,189.0,205.5,202.2,201.3,201.4,154.6,178.1
Guthrie,169.4,113.4,130.1,176.1,179.2,198.2,197.6,192.2,196.7,152.2,170.5
Harrison,169.9,130.9,177.1,161.1,189.5,204.6,193.2,176.0,,181.2,175.9
Ida,182.9,151.4,177.7,189.9,203.1,216.0,215.7,222.2,,189.3,194.2
Monona,158.3,115.1,175.2,156.6,169.0,184.5,196.0,181.4,203.9,179.4,171.9
Sac,183.4,130.7,142.6,179.8,204.8,214.3,194.5,213.5,220.6,161.9,184.6
Shelby,173.6,137.8,182.6,185.2,195.3,215.3,207.1,189.1,217.3,191.6,189.5
Woodbury,173.3,134.8,164.2,177.5,202.3,203.7,200.5,219.3,218.2,192.1,188.6
Boone,182.5,147.1,154.2,180.9,192.3,208.4,192.4,193.7,194.8,161.6,180.8
Dallas,172.1,129.0,145.3,195.5,182.4,204.0,187.2,174.0,195.0,140.5,172.5
Grundy,172.8,161.5,180.8,182.4,199.9,198.5,217.3,225.2,209.8,183.7,193.2
Hamilton,180.6,138.0,135.0,173.1,198.1,209.0,194.6,188.9,198.2,167.2,178.3
Hardin,186.7,163.6,156.6,166.3,199.3,208.0,213.7,216.6,200.2,156.6,186.8
Jasper,171.1,150.9,158.8,191.5,198.9,214.7,204.6,218.6,209.3,,190.9
Marshall,166.3,157.6,163.2,190.5,194.9,211.3,222.4,226.0,221.9,,194.9
Polk,160.6,149.1,143.6,181.4,187.0,199.8,200.3,186.2,196.7,151.0,175.6
Poweshiek,179.0,152.3,158.5,188.4,197.8,213.2,215.1,218.7,200.3,139.0,186.2
Story,163.2,157.6,137.2,169.9,188.0,211.9,200.3,192.3,189.3,149.2,175.9
Tama,162.0,160.2,158.7,182.7,189.5,208.4,220.6,224.3,204.8,133.5,184.5
Webster,190.6,149.2,137.6,190.0,201.0,200.8,197.9,188.1,202.9,174.0,183.2
Benton,157.2,129.3,163.7,185.4,187.5,199.9,215.3,214.6,197.6,145.6,179.6
Cedar,184.9,158.9,169.7,184.1,188.8,215.3,222.3,222.3,193.7,154.1,189.4
Clinton,180.0,139.6,185.6,197.0,188.2,213.8,213.3,210.9,196.1,179.4,190.4
Iowa,171.6,135.7,165.9,192.1,199.3,210.6,216.7,211.7,190.6,151.9,184.6
Jackson,178.3,114.6,173.2,188.9,190.6,202.1,202.1,202.4,185.5,186.7,182.4
Johnson,171.9,132.4,181.1,184.6,187.1,189.0,213.1,212.3,181.3,162.2,181.5
Jones,171.4,127.3,179.3,180.1,186.6,201.3,217.0,208.9,203.0,172.6,184.8
Linn,169.1,124.2,178.6,176.1,189.2,200.3,217.4,215.4,223.7,165.9,186.0
Muscatine,164.6,152.6,158.3,188.1,177.7,203.0,206.8,209.6,173.2,173.8,180.8
Scott,174.2,131.7,167.8,194.5,195.9,216.0,220.0,214.0,189.3,182.3,188.6
Adair,152.8,104.4,137.8,169.3,176.5,190.3,175.2,149.5,176.6,169.7,160.2
Adams,151.7,109.8,147.6,169.9,169.6,187.4,179.9,171.6,,174.2,162.4
Cass,175.2,120.4,159.5,173.7,193.7,195.9,197.4,169.5,200.3,178.5,176.4
Fremont,155.6,131.2,159.9,191.5,179.9,180.8,204.5,195.1,,195.9,177.2
Mills,155.0,128.8,171.0,184.9,,188.4,190.1,,202.9,183.2,175.5
Montgomery,153.2,132.0,154.0,163.1,185.2,185.5,199.1,191.5,204.8,185.6,175.4
Page,136.2,116.2,154.5,182.4,165.8,185.8,193.1,188.1,191.4,182.6,169.6
Pottawattamie,170.9,131.9,179.4,169.1,204.0,210.4,195.8,,208.0,177.3,183.0
Taylor,140.5,91.7,136.2,178.8,,159.9,175.0,154.4,161.7,167.2,151.7
Appanoose,120.1,44.5,109.1,170.9,154.3,186.3,170.0,,166.8,145.0,140.8
Clarke,107.7,76.7,126.5,162.2,152.4,163.9,,161.8,,156.1,138.4
Decatur,126.1,61.2,131.2,164.0,162.7,181.1,,172.5,,160.2,144.9
Lucas,114.9,85.3,117.9,153.7,154.8,174.6,,,,150.1,135.9
Madison,145.1,101.4,140.9,171.4,169.6,185.5,173.1,167.8,175.7,172.9,160.3
Marion,152.6,115.1,156.4,171.6,178.1,198.0,185.7,190.2,170.7,,168.7
Monroe,112.5,67.3,115.3,175.7,,180.0,169.9,167.0,162.3,156.0,145.1
Ringgold,118.7,71.6,121.1,166.4,147.8,179.5,167.8,153.3,,160.0,142.9
Union,132.6,87.3,137.0,176.1,,183.0,147.9,155.8,168.9,180.7,152.1
Warren,129.1,103.5,146.7,169.9,170.3,184.6,183.2,163.6,,169.0,157.8
Wayne,126.0,55.7,125.1,171.9,158.0,174.5,,171.6,151.5,169.7,144.9
Davis,97.8,52.4,146.7,184.2,142.4,188.7,107.3,,160.0,170.9,138.9
Des_Moines,146.6,143.7,165.4,199.0,176.0,210.0,200.1,195.4,176.9,191.3,180.4
Henry,123.2,132.0,160.4,196.6,178.4,199.0,196.4,189.7,164.5,173.0,171.3
Jefferson,112.4,102.8,145.5,200.9,168.2,197.0,165.5,198.8,162.7,168.3,162.2
Keokuk,152.4,113.0,156.7,193.2,181.0,208.6,176.4,203.7,175.5,164.4,172.5
Lee,105.2,116.0,144.1,200.6,145.1,194.6,178.0,201.3,172.5,175.3,163.3
Louisa,148.9,162.9,158.5,188.2,181.7,200.2,216.6,196.5,174.6,182.6,181.1
Mahaska,165.0,133.0,168.6,189.9,190.3,204.7,177.2,207.7,189.9,181.8,180.8
Van_Buren,100.9,110.3,144.1,192.2,158.3,189.0,128.2,180.9,171.0,154.4,152.9
Wapello,127.3,92.6,150.4,195.2,159.3,196.9,153.0,,176.5,171.6,158.1
Washington,156.3,132.1,159.0,191.3,195.0,208.2,220.4,214.3,178.9,186.5,184.2
